
Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0059,16:41:11.657,4.789778 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
URB,0060-0059,16:41:11.658,4.790140 s,362 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00 69 00 76 00...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success (Success),26 03 52 00 69 00 76 00 61 00 6C 00 20 00 47 00 61 00 6D 00 69 00 6E 00 67 00 20 00 4D 00 6F 00 75 00 73 00 65 00
PnP,0061,16:41:11.658,4.790230 s,,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA80099FB010h,
PnP,0062,16:41:11.658,4.790233 s,,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80099FB010h,
PnP,0063-0062,16:41:11.658,4.790236 s,3 us,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80099FB010h,Success
PnP,0064-0061,16:41:11.658,4.790238 s,8 us,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA80099FB010h,Success
PnP,0065,16:41:11.658,4.790612 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABBCC10h,
PnP,0066,16:41:11.658,4.790615 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABBCC10h,
PnP,0067-0066,16:41:11.658,4.790618 s,3 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABBCC10h,Success
PnP,0068-0065,16:41:11.658,4.790620 s,8 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABBCC10h,Success
PnP,0069,16:41:11.658,4.790645 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABCEC10h,
PnP,0070,16:41:11.658,4.790647 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABCEC10h,
PnP,0071-0070,16:41:11.658,4.790649 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABCEC10h,Success
PnP,0072-0069,16:41:11.658,4.790650 s,6 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABCEC10h,Success
PnP,0073,16:41:11.658,4.790674 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB4EC10h,
PnP,0074,16:41:11.658,4.790676 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB4EC10h,
PnP,0075-0074,16:41:11.658,4.790678 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB4EC10h,Success
PnP,0076-0073,16:41:11.658,4.790679 s,5 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB4EC10h,Success
URB,0077,16:41:11.658,4.790690 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,
URB,0078-0077,16:41:11.658,4.790887 s,198 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,Success (Success),26 03 52 00
URB,0079,16:41:11.658,4.790897 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,
